# EDA calibration coefficients — shifted Michaelis-Menten model (fit on raw samples)
# Forward : Raw = Rmax * max(G-G0,0) / (max(G-G0,0) + K)
# Inverse : G   = G0 + K * Raw / (Rmax - Raw)
# G0_std / K_std  : curve_fit covariance on all raw samples
# sigma_raw       : mean ADC noise floor across resistance conditions [ADC]
# G_min / G_max   : conductance at RAW thresholds [µS]
# sigma_G_*       : measurement uncertainty at G_min, G_mid, G_max [µS]
# S_*             : sensitivity dRAW/dG at G_min, G_mid, G_max [ADC/µS]
# res_*           : resolution sigma_raw/S at G_min, G_mid, G_max [µS]
# NOTE: *_min/mid/max refer to position on G axis, not metric magnitude
#       S is highest at G_min (steep); resolution is best at G_min (low res_min value)
DAC,G0,G0_std,K,K_std,Rmax,R2,RMSE,RMSE_cond,cov_G0K,N_fit,sigma_raw,status,G_min,G_max,sigma_G_min,sigma_G_mid,sigma_G_max,S_min,S_mid,S_max,res_min,res_mid,res_max
156.0,1.6002057491785713,0.0006306074627031974,1.6365658521273996,0.0010029122428029712,8547336.84,0.9881378723802059,227121.08558030296,221538.92983649555,-3.9130692943754467e-07,151200,18194.04914166667,OK,1.6597,9.0039,0.046708,0.467891,1.326942,4862539.7,485414.72,171161.24,0.003742,0.037481,0.106298
157.0,2.05701913499434,0.0009156622969842151,2.047374272873614,0.0012785944307737518,8547336.84,0.9879666844413405,216198.00639859706,207277.5205708802,-7.947079261627579e-07,140400,21494.781598717946,OK,2.1315,11.3191,0.055623,0.557189,1.580193,3886864.53,388015.6,136817.51,0.00553,0.055397,0.157105
158.0,2.574344744203067,0.0013508143875855469,2.540277812775936,0.0016129543832542777,8547336.84,0.9881042126765646,199605.2828440344,195408.3788719058,-1.6162063895314576e-06,129600,18134.300609722224,OK,2.6667,14.0663,0.063717,0.638274,1.810149,3132675.64,312726.88,110270.08,0.005789,0.057988,0.164453
159.0,3.199221892059123,0.0021236935812627223,3.2413743737054532,0.0022506680371051488,8547336.84,0.986442902949804,201228.28124167392,182360.98502729405,-3.7352046939719193e-06,118800,33506.880066666665,OK,3.3171,17.8629,0.081964,0.821054,2.328516,2455090.19,245085.28,86419.1,0.013648,0.136715,0.387725
160.0,4.143922760222497,0.0013738743919239624,4.202265166586214,0.0024045690821763847,8547336.84,0.9907426635444841,214346.55216967963,206784.69518820234,-1.994105997082292e-06,118800,19553.31647272727,OK,4.2968,23.1546,0.113189,1.133845,3.215593,1893708.78,189044.03,66658.49,0.010325,0.103433,0.293336
161.0,4.913958634001605,0.0008720762917869037,5.152097346265881,0.0016664874582596005,8547336.84,0.9969240911233441,128652.1761246884,126954.88794783223,-7.756208504735722e-07,113400,8826.42603809524,OK,5.1014,28.2215,0.083292,0.834362,2.366259,1544587.75,154192.19,54369.44,0.005714,0.057243,0.162342
162.0,5.355756735913401,0.0006753077539270375,5.3868136698420175,0.0006434353400985528,8547336.84,0.9995827532273737,32480.341810806265,32161.691620742422,-3.468287849868775e-07,97200,3060.851798148148,OK,5.5517,29.7252,0.021986,0.220245,0.624617,1477286.37,147473.66,52000.43,0.002072,0.020755,0.058862
163.0,5.446178803164207,0.00030795315837016043,5.479922264068297,0.0003022742727586594,8547336.84,0.9999106068174499,15254.158028760468,14955.101876106784,-7.374676544906653e-08,97200,2443.3774703703707,OK,5.6455,30.2368,0.010504,0.105224,0.298417,1452186.01,144967.96,51116.9,0.001683,0.016855,0.0478
164.0,5.483638344465435,0.00013346942065807255,5.523183736394899,0.00013268828259110416,8547336.84,0.9999830044417851,6691.785034152619,6021.994865464627,-1.3984444864126582e-08,97200,2438.1294185185184,OK,5.6845,30.47,0.004644,0.046525,0.131945,1440811.46,143832.47,50716.52,0.001692,0.016951,0.048074
165.0,5.51731569299603,4.134190445425325e-05,5.543983801634693,7.332083864960645e-05,8547336.84,0.9999948413682174,5026.149217263993,4352.01528857272,-1.754448623010311e-09,108000,2086.7630166666668,OK,5.719,30.5978,0.003502,0.035076,0.099476,1435405.79,143292.83,50526.24,0.001454,0.014563,0.041301
